Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Years until sold
201228,2020,8/27/2021,Bristol,535 EAST RD,130270,272000,0.4789,Residential,Three Family,1
200538,2020,3/2/2021,Bristol,489 WOLCOTT ST UN 5,78820,125000,0.6305,Residential,Condo,1
200076,2020,4/26/2021,Goshen,5 VALCOVE COURT,166630,370000,0.4503,Residential,Single Family,1
20025,2020,2/22/2021,Colebrook,64 BUNNELL STREET,165290,316000,0.523,Residential,Single Family,1
200068,2020,5/25/2021,Bethlehem,296 MUNGER LN,289400,625000,0.463,Residential,Single Family,1
201786,2020,9/29/2021,Greenwich,43 LAFRENTZ ROAD,1069740,3450000,0.310069565,Residential,Single Family,1
200170,2020,4/5/2021,Cromwell,13 WILDWOOD ROAD,133210,257000,0.518326848,Residential,Single Family,1
200096,2020,10/19/2020,Greenwich,84 BURNING TREE ROAD,1295700,1940000,0.6678,Residential,Single Family,0
2000214,2020,3/9/2021,Cheshire,7 DIANA CT,352560,725000,0.4862,Industrial,Nan,1
200203,2020,7/22/2021,East Windsor,30 POND ST,116330,200000,0.5816,Residential,Single Family,1
200395,2020,6/25/2021,Madison,144 MIDDLE BEACH RD,1435400,2000000,0.7177,Residential,Single Family,1
200192,2020,1/11/2021,Farmington,8120+8122 COLT HIGHWAY,148780,150000,0.9918,Vacant Land,Nan,1
200071,2020,4/7/2021,Harwinton,76 WOODLAND DR,38640,365000,0.105863014,Residential,Single Family,1
201316,2020,7/28/2021,Cromwell,63 NORTH ROAD,248360,495000,0.5017,Residential,Single Family,1
201012,2020,7/6/2021,Bristol,77-79 CYPRESS ST,93240,260000,0.358615385,Residential,Two Family,1
20017,2020,10/7/2020,Hartford,31 WOODLAND ST #005I,35420,110000,0.322,Residential,Condo,0
200086,2020,12/21/2020,Coventry,803 FLANDERS RD,211400,90000,2.3488,Residential,Single Family,0
200041,2020,12/11/2020,Bethany,4551 BETHMOUR RD,251860,485000,0.5192,Residential,Single Family,0
2000310,2020,7/7/2021,Bloomfield,4 ANTHONY'S WAY,329000,650000,0.5061,Residential,Single Family,1
20037,2020,1/5/2021,Ashford,437 NORTH RD,128800,245000,0.5257,Residential,Single Family,1
201152,2020,8/25/2021,Hartford,86 GRANDVIEW TER,89928,248000,0.3626,Residential,Two Family,1
20089,2020,11/9/2020,Farmington,10 FINCH BLVD,111440,167500,0.6653,Residential,Condo,0
200000356,2020,8/4/2021,Brookfield,36 IRONWORKS HILL RD,188660,370000,0.5098,Residential,Single Family,1
200428,2020,1/4/2021,Manchester,1 MARKWOOD LANE,176000,310000,0.5677,Residential,Single Family,1
200787,2020,9/20/2021,Branford,11 LANPHIER RD,215100,400000,0.5377,Residential,Single Family,1
200575,2020,7/9/2021,East Haven,113 KENNETH ST #B,80680,125000,0.6454,Residential,Condo,1
200081,2020,10/16/2020,Greenwich,3 HILL ROAD,2258480,3600000,0.6273,Residential,Single Family,0
200125,2020,8/2/2021,Beacon Falls,39 FIELDSTONE LANE,0,600000,0,Residential,Condo,1
2000314,2020,5/12/2021,Cheshire,55 CHARTER OAK DR,280840,525000,0.5349,Residential,Single Family,1
200066,2020,1/22/2021,Killingworth,200 LITTLE CITY ROAD,4600,190000,0.0242,Vacant Land,Nan,1
200440,2020,4/13/2021,Enfield,4 SKY ST,116760,200000,0.5838,Residential,Single Family,1
200181,2020,1/26/2021,East Lyme,38 VILLAGE CROSSING,188930,235000,0.8039,Residential,Condo,1
200036,2020,10/9/2020,Bristol,20 DEL PRADO DR,190750,350000,0.545,Residential,Single Family,0
200292,2020,6/8/2021,Killingly,96 WESTFIELD AVE,98420,200000,0.4921,Residential,Two Family,1
20884,2020,6/15/2021,Hartford,18 WAVERLY ST,71883,250000,0.2875,Residential,Three Family,1
200335,2020,12/8/2020,Danbury,6 ROUNDHILL DR,303500,522500,0.5808,Residential,Single Family,0
200352,2020,3/25/2021,Groton,28 BIRCH ST,79100,215000,0.367906977,Residential,Single Family,1
200013,2020,10/2/2020,Greenwich,50 WEAVER STREET,343280,539000,0.636883117,Residential,Single Family,0
20076,2020,11/9/2020,Darien,15 CASEMENT ST,908040,1449000,0.6266,Residential,Single Family,0
200166,2020,12/16/2020,East Haven,275 COE AVE,133020,305000,0.4361,Residential,Single Family,0
200111,2020,5/7/2021,Hebron,82 PORTER RD,30390,100000,0.3039,Residential,Single Family,1
200480,2020,6/28/2021,Farmington,8531 MT SPRING RD,155060,228000,0.68,Vacant Land,Nan,1
200608,2020,8/6/2021,Farmington,912 NEW BRITAIN AV,308790,492000,0.6276,Residential,Single Family,1
200551,2020,6/29/2021,East Haven,207 EDDON DR,297440,540500,0.5503,Residential,Single Family,1
201291,2020,9/23/2021,Manchester,40 ELRO STREET,115100,245000,0.4697,Residential,Two Family,1
2000510,2020,9/9/2021,Cheshire,59 MACKENZIE WILLOW TERR,0,573879,0,Residential,Condo,1
20980,2020,7/9/2021,Hartford,164 GLENDALE AVE,82798,233000,0.3553,Residential,Single Family,1
200118,2020,9/7/2021,Columbia,21 BEARS DEN WAY,186900,390000,0.4792,Residential,Single Family,1
200288,2020,2/3/2021,Glastonbury,167 RIDGE RD,393600,580000,0.6786,Residential,Single Family,1
200141,2020,11/20/2020,Branford,82 PINE ORCHARD RD,266700,545000,0.4893,Residential,Single Family,0
200258,2020,11/19/2020,Manchester,126 ADELAIDE ROAD,225400,365000,0.6175,Residential,Single Family,0
20245,2020,12/28/2020,East Hartford,21 HIGBIE DR,64830,155000,0.4182,Residential,Single Family,0
200829,2020,5/25/2021,Bristol,116-122 HIGH ST,106190,140000,0.7585,Apartments,Nan,1
200314,2020,12/18/2020,Bristol,BROAD ST LOT 71-7,196910,265000,0.743,Vacant Land,Nan,0
200046,2020,10/21/2020,East Haven,6 CLANCY ST,125720,215000,0.584744186,Residential,Single Family,0
20394,2020,6/8/2021,Darien,30 GREENWOOD AVE,234360,460000,0.5094,Residential,Single Family,1
200338,2020,2/12/2021,Enfield,221 MEADOWS,145150,220000,0.6597,Residential,Condo,1
200429,2020,7/28/2021,Avon,12 BRENTHAVEN,214470,410000,0.523,Residential,Condo,1
20065,2020,10/30/2020,Farmington,1670-3 FARMINGTON AV,76870,120000,0.6405,Residential,Condo,0
20913,2020,6/22/2021,Hartford,59 EARLE ST,82099,330000,0.248784848,Residential,Three Family,1
200540,2020,6/22/2021,East Haven,2 OLD TOWN HWY #22,140080,302000,0.4638,Residential,Condo,1
200449,2020,1/11/2021,Manchester,101 HAMLIN STREET,132500,210000,0.6309,Residential,Two Family,1
200062,2020,3/4/2021,Goshen,WL 609  DRESDEN CIRCLE,73540,65000,1.1313,Vacant Land,Nan,1
201305,2020,8/2/2021,Danbury,8 OLD HAYRAKE RD,294600,575000,0.5123,Residential,Single Family,1
200031,2020,10/14/2020,Glastonbury,186 E OPAL DR,331200,535000,0.619,Residential,Single Family,0
200682,2020,9/1/2021,Farmington,7 GRANDVIEW DR UNIT35A,53460,90000,0.594,Residential,Condo,1
200029,2020,10/15/2020,East Haven,10 GLENMOOR DR,131510,234500,0.5608,Residential,Single Family,0
200080,2020,1/25/2021,East Windsor,13 TROMLEY RD,79740,195000,0.4089,Residential,Single Family,1
200380,2020,6/22/2021,East Lyme,5 BRAMBLEBUSH DR,237720,475000,0.5004,Residential,Single Family,1
2020138,2020,1/22/2021,Berlin,125 CRATER LANE,170000,181000,0.9392,Residential,Single Family,1
200035,2020,11/4/2020,Essex,69 LYNN RD,380900,510000,0.7468,Residential,Single Family,0
200713,2020,4/19/2021,Manchester,50 KAREN DRIVE,98600,175000,0.563428571,Residential,Single Family,1
200810,2020,4/6/2021,Greenwich,40 WILLOWMERE CIRCLE,2224810,1900000,1.1709,Residential,Single Family,1
200267,2020,4/6/2021,Madison,123 LEGEND HILL RD,176800,235000,0.7523,Residential,Condo,1
2000435,2020,7/21/2021,Cheshire,215 WIESE RD,302460,624000,0.4847,Residential,Single Family,1
201087,2020,6/16/2021,Danbury,20 FOSTER ST,150700,395000,0.381518987,Residential,Two Family,1
200053,2020,10/19/2020,Branford,261 ALPS RD,150600,295000,0.5105,Residential,Single Family,0
200511,2020,2/23/2021,Bristol,89 PHEASANT RUN,142380,251000,0.5672,Residential,Single Family,1
200121,2020,4/19/2021,Canton,5 HIGH STREET,148640,255000,0.5829,Residential,Single Family,1
200106,2020,1/25/2021,East Haddam,51 FALLS RD,104250,208000,0.501201923,Residential,Single Family,1
20541,2020,3/18/2021,Hartford,356 FRANKLIN AVE #00A5,7280,20000,0.364,Residential,Condo,1
200605,2020,3/22/2021,Bristol,52 CONCORD ST,105070,215000,0.488697674,Residential,Single Family,1
20249,2020,12/16/2020,Hartford,202 STANDISH ST,64050,239000,0.2679,Residential,Two Family,0
200457,2020,1/6/2021,Danbury,44 WOODSIDE AV,278300,480000,0.5797,Residential,Single Family,1
200000411,2020,9/10/2021,Brookfield,11 BRISTOL PATH,3770,180000,0.020944444,Residential,Condo,1
200008,2020,10/21/2020,Bethlehem,34 HIGHLAND ROAD,82000,106000,0.7735,Residential,Single Family,0
201029,2020,7/7/2021,Bristol,23 HAVILAND ST,130270,244900,0.5319,Residential,Single Family,1
2000225,2020,5/19/2021,Bloomfield,78 ADAMS ROAD,164430,308000,0.5338,Residential,Single Family,1
200116,2020,4/14/2021,East Windsor,35A SOUTH MAIN ST,39620,43500,0.9108,Commercial,Nan,1
200657,2020,8/2/2021,Groton,296 MERIDIAN ST UNIT I,49350,101000,0.4886,Residential,Condo,1
200057,2020,11/3/2020,Madison,WEST SUSSEX PL U-3-4,20000,15000,1.333333333,Residential,Condo,0
200266,2020,7/8/2021,Colchester,81 LAKEVIEW DR,125800,260000,0.4838,Residential,Single Family,1
20450,2020,8/16/2021,Bethel,28 IDELWOOD,109550,235000,0.4661,Residential,Condo,1
20682,2020,4/26/2021,Hartford,158 VINE ST,13440,29547,0.4548,Vacant Land,Nan,1
200035,2020,11/2/2020,East Haddam,49 BOGUE LANE,224050,315000,0.7112,Residential,Single Family,0
200152,2020,9/16/2021,Beacon Falls,29 BAYBERRY COURT,0,601291,0,Residential,Condo,1
200313,2020,6/2/2021,Avon,11 COTSWOLD WAY,295530,540000,0.5472,Residential,Single Family,1
201374,2020,9/29/2021,Bristol,320 RAMBLER ST,122150,264502,0.4618,Residential,Single Family,1
200864,2020,4/19/2021,Greenwich,LOT 1 50 LAFRENTZ ROAD,666680,1888750,0.352974189,Vacant Land,Nan,1
200081,2020,3/11/2021,Killingworth,40 BRIDLEPATH TRAIL,72420,161000,0.4498,Residential,Single Family,1
2011391,2020,3/15/2021,Griswold,4 COMMERCE CIRCLE,49350,80000,0.616875,Vacant Land,Nan,1
20035,2020,4/13/2021,Eastford,55 COVE RD EAST,242190,350000,0.6919,Residential,Single Family,1
20829,2020,6/2/2021,Hartford,4 PARK TER,75915,251000,0.3024,Residential,Single Family,1
200426,2020,4/29/2021,East Haven,69 ST ANDREW AVE,90480,140000,0.6462,Residential,Single Family,1
200314,2020,5/6/2021,Madison,95 GENESEE LN,333400,675000,0.493925926,Residential,Single Family,1
200145,2020,2/3/2021,Killingly,139 SCHOOL ST,61390,159000,0.386100629,Residential,Three Family,1
200492,2020,8/3/2021,Guilford,3199 DURHAM RD,199030,375000,0.5307,Residential,Single Family,1
200000370,2020,8/12/2021,Brookfield,9 CHATHAM COURT,83780,150000,0.5585,Residential,Condo,1
20200,2020,2/12/2021,Bethel,40 HUNTING RIDGE LANE,210799,425432,0.4954,Residential,Condo,1
200506,2020,5/7/2021,Enfield,42 BROAD LEAF LA,94560,200000,0.4728,Residential,Single Family,1
200068,2020,10/23/2020,Groton,34 GALLUP ST,136290,254900,0.534680267,Residential,Single Family,0
201035,2020,6/7/2021,Danbury,4 EVERGREEN RD,15600,638900,0.024416967,Residential,Single Family,1
200423,2020,4/23/2021,Branford,24 COLLINS DR,147000,290000,0.5068,Residential,Single Family,1
200190,2020,7/20/2021,Essex,5 CHAMPLIN SQ,576300,462500,1.246,Residential,Single Family,1
20270,2020,4/12/2021,Bethel,17 SOUTH CROSSING WAY,414260,667600,0.62052127,Residential,Single Family,1
20278,2020,1/8/2021,East Hartford,19 ARAPAHO,17300,18500,0.935135135,Residential,Condo,1
200186,2020,12/11/2020,Branford,3 GROVE CT,43400,86501,0.5017,Residential,Condo,0
200073,2020,5/4/2021,Columbia,55 PINE STREET,232100,230000,1.0091,Residential,Single Family,1
200475,2020,5/4/2021,Glastonbury,42 WESLEYAN RD,233200,376100,0.62,Residential,Single Family,1
200094,2020,9/7/2021,Bethlehem,276 GUILDS HOLLOW RD,325500,1475000,0.220677966,Residential,Single Family,1
200222,2020,12/18/2020,Enfield,32 NORTH ST,127180,230000,0.5529,Residential,Single Family,0
200034,2020,11/2/2020,Cromwell,300 MAIN,112420,196000,0.5735,Residential,Two Family,0
200388,2020,12/18/2020,Greenwich,33 GROSSETT ROAD,2593570,5450000,0.4758,Residential,Single Family,0
200378,2020,6/21/2021,East Lyme,20 S EDGEWOOD RD,118930,225000,0.5285,Residential,Single Family,1
20392,2020,2/3/2021,Hartford,22 FRANKLIN AVE #022B,30940,70000,0.442,Residential,Condo,1
20108,2020,11/5/2020,Hartford,57 WOODSTOCK ST,39095,150000,0.2606,Residential,Single Family,0
200630,2020,3/22/2021,Manchester,52 FALKNOR DRIVE,105800,237000,0.4464,Residential,Single Family,1
2012861,2020,7/26/2021,Griswold,148 MATHEWSON ST UNIT 302,88130,696000,0.1266,Residential,Condo,1
20554,2020,5/18/2021,East Hartford,194 HOLLISTER DR,70130,150000,0.4675,Residential,Single Family,1
200066,2020,4/15/2021,East Granby,23 COPPER HILL ROAD,117800,195750,0.6017,Residential,Single Family,1
200014,2020,10/14/2020,Canton,20 SWEETHEART MOUNTAIN ROAD,301200,525462,0.5732,Residential,Single Family,0
200585,2020,6/22/2021,Branford,49 STRATTON WAY,154000,272500,0.5651,Residential,Condo,1
200196,2020,3/30/2021,Killingly,3 FRONTAGE PT,41370,75000,0.5516,Residential,Condo,1
200064,2020,2/24/2021,Bethany,4 COLLINS RD,277800,395000,0.7032,Residential,Single Family,1
2020153,2020,2/5/2021,Berlin,739 ORCHARD ROAD,204100,335000,0.6092,Residential,Single Family,1
200450,2020,5/6/2021,East Haven,113 BORRMANN RD,131910,240000,0.5496,Residential,Single Family,1
20930,2020,6/28/2021,Hartford,49 EAST BURNHAM ST,45220,157000,0.288,Residential,Two Family,1
200022,2020,1/15/2021,Lyme,16 HONEY HILL LANE,545700,850000,0.642,Residential,Single Family,1
200293,2020,2/11/2021,Branford,20 KELLYCREST RD,226000,405000,0.558,Residential,Single Family,1
200305,2020,8/5/2021,Colchester,11 VILLAGE CT,182700,330000,0.5536,Residential,Single Family,1
200701,2020,7/22/2021,Glastonbury,43 KINNE RD,253800,375000,0.6768,Residential,Single Family,1
200314,2020,1/29/2021,Enfield,BIGELOW AVE,113710,266500,0.4266,Residential,Two Family,1
201027,2020,7/7/2021,Bristol,10 HIGH RIDGE RUN,229110,525000,0.4364,Residential,Single Family,1
200233,2020,2/9/2021,Farmington,110 SONGBIRD LA,113040,172500,0.6553,Residential,Condo,1
200176,2020,11/12/2020,Bristol,250 WOLCOTT RD,218470,317000,0.6891,Residential,Single Family,0
200254,2020,11/20/2020,Greenwich,414 RIVERSVILLE ROAD,793940,1230000,0.6454,Residential,Single Family,0
200362,2020,6/29/2021,Avon,14 FAWN RUN,447240,750000,0.5963,Residential,Single Family,1
200528,2020,9/29/2021,Avon,2 CONIFER LANE,189560,275000,0.6893,Residential,Condo,1
2000352,2020,6/1/2021,Cheshire,105 OLD TOWNE RD,140870,290000,0.4857,Residential,Condo,1
200502,2020,1/15/2021,Greenwich,23 NORTH PORCHUCK ROAD,1145970,1400000,0.8185,Residential,Single Family,1
200652,2020,7/27/2021,Branford,39 FEATHERBED LA,237900,460000,0.5171,Residential,Single Family,1
20057,2020,12/14/2020,Derby,94 COMMODORE COMMONS,93170,168000,0.5545,Residential,Condo,0
200194,2020,8/4/2021,Essex,1 EAGLE RIDGE DR,204600,469000,0.436247335,Residential,Single Family,1
2000027,2020,10/19/2020,Cheshire,580 PECK LANE,265570,425000,0.6248,Residential,Single Family,0
200035,2020,10/20/2020,Madison,51 PARTRIDGE LN,263900,450000,0.5864,Residential,Single Family,0
200106,2020,12/3/2020,Madison,4 MATTHEW COURT,668400,985000,0.6785,Residential,Single Family,0
200159,2020,1/5/2021,Guilford,57 LONG HILL FARM,138760,240000,0.5781,Residential,Condo,1
200471,2020,1/11/2021,Danbury,143 WESTILLVE AVE EXT,339100,280000,1.211,Residential,Single Family,1
20265,2020,12/22/2020,Hartford,88 BALTIMORE ST,57295,140000,0.40925,Residential,Three Family,0
200001,2020,10/1/2020,Groton,0 CHARLES ST,75040,65000,1.154461538,Vacant Land,Nan,0
200145,2020,11/24/2020,Groton,311 GALES FERRY RD,156100,330000,0.473,Residential,Single Family,0
200110,2020,10/28/2020,Bristol,187 MORNINGSIDE DR WEST,114800,163000,0.7042,Residential,Single Family,0
200968,2020,6/25/2021,Bristol,288 BROOK ST,111230,210000,0.5296,Residential,Single Family,1
200834,2020,8/19/2021,Enfield,9 BERNARDINO AVE,109940,220000,0.4997,Residential,Single Family,1
20842,2020,6/4/2021,Hartford,130 GREENFIELD ST,83754,285000,0.2938,Residential,Two Family,1
200058,2020,10/16/2020,Manchester,355 HIGHLAND STREET,286900,564000,0.5086,Residential,Single Family,0
200733,2020,8/31/2021,Branford,229-233 MONTOWESE ST,464800,535000,0.8687,Commercial,Nan,1
200145,2020,12/1/2020,Glastonbury,155 CHIMNEYSWEEP HILL RD,219300,355000,0.6177,Residential,Single Family,0
201595,2020,9/28/2021,Danbury,160 SHELTER ROCK RD 3,113000,255000,0.4431,Residential,Condo,1
201506,2020,7/30/2021,Greenwich,3 OLD WAGON ROAD,952140,1800000,0.5289,Residential,Single Family,1
200114,2020,1/29/2021,Colchester,133 BRAINARD RD,139200,292500,0.4758,Residential,Single Family,1
2020021,2020,10/19/2020,Berlin,231 BROOKE MEADOW RD,271100,410000,0.6612,Residential,Two Family,0
200537,2020,6/16/2021,Groton,11 WINDROSE DR,384510,665000,0.5782,Residential,Single Family,1
20016,2020,10/26/2020,Lebanon,32 BENDER RD,248970,356500,0.6983,Residential,Single Family,0
2000178,2020,3/30/2021,Bloomfield,69 ELIZABETH AVENUE,71400,55000,1.298181818,Residential,Single Family,1
2000104,2020,12/4/2020,Cheshire,44 WOODBURY CT,131180,230000,0.5703,Residential,Single Family,0
200209,2020,5/3/2021,Colchester,28 PHOENIX RD,19300,10000,1.93,Residential,Single Family,1
200206,2020,2/25/2021,Madison,34 FAIRVIEW AVE,1298800,2175000,0.5971,Residential,Single Family,1
200042,2020,1/5/2021,Goshen,49 PAXTON COURT,205140,225000,0.911733333,Residential,Single Family,1
20085,2020,1/19/2021,Derby,11-13 NINTH ST,122920,290000,0.4238,Residential,Two Family,1
200449,2020,7/12/2021,Guilford,7 PARTRIDGE LN,289770,625000,0.4636,Residential,Single Family,1
200051,2020,11/18/2020,Essex,34 WEST AVE,383200,600000,0.6386,Residential,Single Family,0
200456,2020,1/5/2021,Greenwich,137 CLAPBOARD RIDGE ROAD,2036160,2500000,0.8144,Residential,Single Family,1
20361,2020,2/19/2021,East Hartford,127 RIDGEWOOD RD,134660,222000,0.6065,Residential,Single Family,1
20355,2020,5/26/2021,Darien,50 STANTON ROAD,858830,1320000,0.6506,Residential,Single Family,1
200028,2020,10/13/2020,East Lyme,42 ROXBURY COURT,174440,237000,0.736,Residential,Single Family,0
200206,2020,11/10/2020,Greenwich,390 NORTH MAPLE AVENUE,1675170,3700000,0.4527,Residential,Single Family,0
20019,2020,10/8/2020,East Hartford,36 PINE ST,57120,110000,0.5192,Residential,Single Family,0
200094,2020,12/22/2020,Bloomfield,9 MAY LANE,101640,180000,0.5646,Residential,Single Family,0
200008,2020,10/6/2020,Coventry,169 SATARI DR,59700,642113,0.0929,Vacant Land,Nan,0
200148,2020,11/30/2020,Groton,836 NOANK RD,336770,665000,0.506421053,Residential,Single Family,0
200030,2020,10/19/2020,Avon,148 MALLARD DRIVE,147860,224000,0.66,Residential,Condo,0
200065,2020,1/7/2021,East Windsor,36 MORRIS RD,133960,270000,0.4961,Residential,Single Family,1
200103,2020,8/3/2021,Columbia,483 ROUTE 87 EAST,60160,387700,0.155171524,Residential,Single Family,1
200831,2020,4/9/2021,Greenwich,128-130 RIVER ROAD EXTENSION,531790,1150000,0.4624,Residential,Two Family,1
200663,2020,3/31/2021,Manchester,151 CHESTNUT STREET UNIT B1,18800,97000,0.193814433,Residential,Condo,1
200484,2020,5/19/2021,Branford,93 TODDS HILL RD,74600,485900,0.1535,Residential,Single Family,1
200130,2020,1/20/2021,Killingly,26 LINCOLN RD,156590,222000,0.7053,Residential,Single Family,1
200281,2020,11/24/2020,Danbury,29 OLD NEVERSINK RD,325400,895000,0.3635,Residential,Single Family,0
200925,2020,5/11/2021,Danbury,28 CAROL ST,175400,402000,0.436318408,Residential,Single Family,1
200523,2020,6/14/2021,East Haven,29 WHALERS POINT RD,283510,675000,0.42,Residential,Condo,1
20110,2020,3/5/2021,Burlington,184 STAFFORD RD,272300,389000,0.7,Residential,Single Family,1
201187,2020,5/3/2021,Griswold,80 SHELDON RD LOT 20,36470,53000,0.688113208,Residential,Single Family,1
200215,2020,4/14/2021,Killingly,88 R & R PARK,10920,20000,0.546,Residential,Single Family,1
201396,2020,7/14/2021,Greenwich,8 CIRCLE DRIVE,713160,1895000,0.3763,Residential,Single Family,1
20021,2020,12/23/2020,Lisbon,8 SULLIVAN RD,162300,307500,0.5278,Residential,Single Family,0
200206,2020,12/22/2020,Glastonbury,37 W LEDGE RD,427200,260000,1.643,Residential,Single Family,0
200670,2020,4/5/2021,Manchester,35 GARDEN STREET,101900,170000,0.5994,Residential,Single Family,1
200520,2020,9/13/2021,Madison,123 HORSEPOND RD,157000,330000,0.4757,Residential,Single Family,1
200013,2020,12/1/2020,Chaplin,266 HAMPTON RD,100700,118000,0.8533,Residential,Single Family,0
20145,2020,1/5/2021,Darien,1 DEERFIELD RD,1831900,2549000,0.7186,Residential,Single Family,1
20253,2020,12/31/2020,East Hartford,25 LAFAYETTE AVE,82250,175000,0.47,Residential,Single Family,0
20811,2020,5/26/2021,Hartford,631 GARDEN ST,74305,275000,0.2702,Residential,Three Family,1
200161,2020,11/2/2020,Greenwich,23 NICHOLAS AVENUE,368970,621000,0.594154589,Residential,Single Family,0
201163,2020,8/11/2021,Bristol,25 MEDFORD ST,233310,399900,0.5834,Residential,Single Family,1
200541,2020,6/17/2021,Groton,239 H ST,24220,47500,0.5098,Residential,Single Family,1
200159,2020,5/24/2021,Canton,35 RUSTLE MEADOW LANE,410850,645000,0.6369,Residential,Single Family,1
20038,2020,2/3/2021,Barkhamsted,476 E HARTLAND RD,141690,285000,0.497157895,Residential,Single Family,1
200000399,2020,9/1/2021,Brookfield,42 ELBOW HILL RD,231620,415000,0.5581,Residential,Single Family,1
200631,2020,2/16/2021,Greenwich,4 KEOFFERAM ROAD,1372560,2660000,0.516,Residential,Single Family,1
200161,2020,8/17/2021,Killingworth,74 POND MEADOW ROAD,209910,380900,0.551,Residential,Single Family,1
200508,2020,7/2/2021,Farmington,3 BRITTANY LANE,313040,480000,0.6521,Residential,Single Family,1
2000166,2020,1/28/2021,Cheshire,323 FENN RD,141830,263000,0.5392,Residential,Single Family,1
200202,2020,8/23/2021,Easton,KACHELE STREET,30860,600000,0.0514,Residential,Single Family,1
200374,2020,4/6/2021,Groton,187 D ST,19670,15000,1.311333333,Residential,Single Family,1
200736,2020,3/23/2021,Danbury,98 SOUTH ST,159400,370000,0.4308,Residential,Two Family,1
20237,2020,3/22/2021,Bethel,29 NASHVILLE ROAD,180600,315000,0.5733,Residential,Single Family,1
200217,2020,5/21/2021,Coventry,3718 SOUTH ST,101600,220900,0.4599,Residential,Single Family,1
201170,2020,4/27/2021,Griswold,23 SOUTH MAIN ST UNIT 1,39550,969000,0.040815273,Residential,Condo,1
200000335,2020,7/16/2021,Brookfield,25 RIVERVIEW CT,192960,310000,0.6224,Residential,Condo,1
201187,2020,8/27/2021,Manchester,96 ELM STREET,458300,2000000,0.2291,Industrial,Nan,1
200614,2020,8/2/2021,East Haven,1 BIRCH LN #D,53990,114900,0.4698,Residential,Condo,1
200561,2020,6/8/2021,Glastonbury,57 SHIPMAN DR,198100,270000,0.7337,Residential,Single Family,1
200037,2020,11/3/2020,Bloomfield,21 GIBRALTAR LANE,269920,600000,0.4498,Residential,Single Family,0
2020013,2020,10/14/2020,Ansonia,14 VOSE ST,75600,255000,0.2964,Residential,Single Family,0
200969,2020,5/24/2021,Danbury,45 BRENTWOOD CI,18200,539224,0.0337,Residential,Condo,1
200850,2020,9/15/2021,Glastonbury,254 FELDSPAR RDG,443400,770000,0.5758,Residential,Single Family,1
200035,2020,3/10/2021,Lyme,73 BILL HILL RD,280700,395000,0.7106,Residential,Single Family,1
200239,2020,7/6/2021,East Haddam,3 SANFORDS BRIDGE RD,248080,450100,0.5511,Residential,Single Family,1
2000469,2020,8/12/2021,Cheshire,6 SIERRA CT,75500,627105,0.120394511,Residential,Single Family,1
20000003,2020,10/6/2020,Granby,15 WINTER VILLAGE RD,245140,390000,0.6285,Residential,Single Family,0
200554,2020,6/22/2021,Groton,151 TYLER AVE,473060,850000,0.5565,Residential,Single Family,1
200094,2020,11/2/2020,Enfield,27 CAROL ST,150460,274900,0.5473,Residential,Single Family,0
200261,2020,3/5/2021,Farmington,111 SOUTH RD,1643010,1050000,1.5647,Commercial,Nan,1
200149,2020,3/3/2021,Cromwell,5 PLEASANT STREET,143850,250000,0.5754,Residential,Single Family,1
20165,2020,11/30/2020,East Hartford,159 ROXBURY RD,84500,152000,0.5559,Residential,Single Family,0
20000118,2020,3/5/2021,Granby,9 WINDMILL DR,112350,207000,0.5427,Residential,Condo,1
200960,2020,6/30/2021,Manchester,21 MARJORIE LANE,90600,165000,0.549,Residential,Condo,1
200318,2020,12/18/2020,Bristol,26 DUDLEY ST,72870,105000,0.694,Residential,Two Family,0
200380,2020,3/8/2021,Enfield,175 SHAKER RD,189330,345000,0.5487,Residential,Single Family,1
200748,2020,9/7/2021,Branford,98-102 SEAVIEW AVE,1068500,1400000,0.7632,Residential,Single Family,1
200127,2020,12/15/2020,Madison,115 CONCORD DR,329100,557160,0.5906,Residential,Single Family,0
2000006,2020,11/12/2020,Hampton,349 SO BIGELOW RD,246640,435000,0.5669,Residential,Single Family,0
200027,2020,1/25/2021,Chester,159 MAIN ST,362440,384500,0.9426,Commercial,Nan,1
20056,2020,2/5/2021,Lebanon,195 OLIVER RD,139100,270000,0.5151,Residential,Single Family,1
20011,2020,12/7/2020,Franklin,379 POND RD,149190,235000,0.6348,Residential,Single Family,0
200185,2020,2/3/2021,Madison,38 WINDING RD,197100,306000,0.6441,Residential,Single Family,1
201667,2020,8/30/2021,Greenwich,18 AMHERST ROAD,562240,1400000,0.4016,Residential,Single Family,1
201209,2020,5/19/2021,Griswold,R PLAINFIELD RD,3150,5371,0.5864,Vacant Land,Nan,1
20324,2020,5/17/2021,Bethel,10 KINGSWOOD DRIVE,161350,312000,0.5171,Residential,Condo,1
200027,2020,10/26/2020,Cromwell,39 GROVE RD,110320,175000,0.6304,Residential,Single Family,0
20597,2020,9/7/2021,Darien,48 FAIRFIELD AVE,721910,1125000,0.6416,Residential,Single Family,1
200753,2020,9/7/2021,Groton,79-81 WARNER ST,172410,315000,0.5473,Residential,Two Family,1
201365,2020,8/16/2021,Danbury,7 ZINN RD,201100,540000,0.3724,Residential,Single Family,1
